radius,radius_within,avg_visits_per_cell
150,1,1
150,2,1
150,3,1.27586
150,4,1.4898
150,5,1.79012
150,6,1.92035
150,7,2.18121
150,8,2.42132
150,9,2.61265
150,10,2.89274
150,11,3.18568
150,12,3.37642
150,13,3.60113
150,14,3.84502
150,15,4.04654
150,16,4.19197
150,17,4.33851
150,18,4.51635
150,19,4.67759
150,20,4.82816
150,21,4.95339
150,22,5.05274
150,23,5.10163
150,24,5.1517
150,25,5.19582
150,26,5.22819
150,27,5.24115
150,28,5.26417
150,29,5.27083
150,30,5.25665
150,31,5.25591
150,32,5.23559
150,33,5.20299
150,34,5.17655
150,35,5.14638
150,36,5.10955
150,37,5.07361
150,38,5.04166
150,39,4.99246
150,40,4.94667
150,41,4.90648
150,42,4.85593
150,43,4.8086
150,44,4.76238
150,45,4.71514
150,46,4.67094
150,47,4.62029
150,48,4.57521
150,49,4.52585
150,50,4.47737
150,51,4.4264
150,52,4.37907
150,53,4.33613
150,54,4.28835
150,55,4.24702
150,56,4.19919
150,57,4.15595
150,58,4.10922
150,59,4.0701
150,60,4.02595
150,61,3.98194
150,62,3.94039
150,63,3.90051
150,64,3.86003
150,65,3.81896
150,66,3.78154
150,67,3.74369
150,68,3.705
150,69,3.66667
150,70,3.63033
150,71,3.59483
150,72,3.56093
150,73,3.52448
150,74,3.48892
150,75,3.45412
150,76,3.4245
150,77,3.39033
150,78,3.35784
150,79,3.32886
150,80,3.29789
150,81,3.26796
150,82,3.23819
150,83,3.20815
150,84,3.18118
150,85,3.15039
150,86,3.12344
150,87,3.09651
150,88,3.06935
150,89,3.04403
150,90,3.01737
150,91,2.99223
150,92,2.9671
150,93,2.9429
150,94,2.9177
150,95,2.89367
150,96,2.87101
150,97,2.84793
150,98,2.82374
150,99,2.80174
150,100,2.77789
150,101,2.75757
150,102,2.73459
150,103,2.71396
150,104,2.69407
150,105,2.67274
150,106,2.65274
150,107,2.63235
150,108,2.61289
150,109,2.59348
150,110,2.57447
150,111,2.55556
150,112,2.53627
150,113,2.51862
150,114,2.50065
150,115,2.48206
150,116,2.46457
150,117,2.44808
150,118,2.43037
150,119,2.41348
150,120,2.39648
150,121,2.3805
150,122,2.36467
150,123,2.34813
150,124,2.33206
150,125,2.31646
150,126,2.3017
150,127,2.28708
150,128,2.27148
150,129,2.25633
150,130,2.24137
150,131,2.22728
150,132,2.21295
150,133,2.19798
150,134,2.18509
150,135,2.171
150,136,2.1574
150,137,2.14392
150,138,2.13088
150,139,2.11714
150,140,2.10504
150,141,2.0916
150,142,2.07935
150,143,2.0667
150,144,2.05424
150,145,2.04196
150,146,2.02962
150,147,2.01779
150,148,2.00615
150,149,1.99431
150,150,1.9825
